id,name,region,pop,gdp,gdppc,year,L10n
AFG,Afghanistan,Asia,38928341,19807067268,508.81,2020,na
AGO,Angola,Africa,32866268,62306913444,1895.77,2020,na
ALB,Albania,Europe,2837743,14799615097,5215.28,2020,na
AND,Andorra,Europe,77146,3155065488,40897.33,2019,na
ARE,United Arab Emirates,Asia,9770526,421142267937,43103.34,2019,0.9931799844
ARG,Argentina,America,45376763,383066977654,8441.92,2020,na
ARM,Armenia,Asia,2963234,12645459214,4267.45,2020,na
ATA,Antarctica,Antarctica,,,,,na
ATG,Antigua and Barbuda,America,97928,1415059259,14450,2020,na
AUS,Australia,Oceania,25687041,1330900925057,51812.15,2020,na
AUT,Austria,Europe,8917205,430947393758,48327.63,2020,na
AZE,Azerbaijan,Asia,10110116,42607176471,4214.31,2020,0.8154253789
BDI,Burundi,Africa,11890781,3258187233,274.01,2020,na
BEL,Belgium,Europe,11555997,515332499628,44594.38,2020,na
BEN,Benin,Africa,12123198,15651545209,1291.04,2020,na
BFA,Burkina Faso,Africa,20903278,17369059295,830.93,2020,na
BGD,Bangladesh,Asia,164689383,324239176765,1968.79,2020,na
BGR,Bulgaria,Europe,6927288,69105101090,9975.78,2020,0.8820500459
BHR,Bahrain,Asia,1641164,38474521277,23443.43,2019,na
BHS,Bahamas,America,393248,11250000000,28607.9,2020,na
BIH,Bosnia and Herzegovina,Europe,3280815,19788422248,6031.56,2020,na
BLR,Belarus,Europe,9398861,60258239056,6411.23,2020,na
BLZ,Belize,America,397621,1763696119,4435.62,2020,na
BOL,Bolivia,America,11673029,36688861203,3143.05,2020,na
BRA,Brazil,America,212559409,1444733258972,6796.84,2020,na
BRB,Barbados,America,287371,4365500000,15191.16,2020,na
BRN,Brunei,Asia,437483,12016056665,27466.34,2020,na
BTN,Bhutan,Asia,771612,2409262838,3122.38,2020,na
BWA,Botswana,Africa,2351625,15781732826,6710.99,2020,na
CAF,Central African Republic,Africa,4829764,2303078338,476.85,2020,na
CAN,Canada,America,38005238,1644037286481,43258.18,2020,na
CHE,Switzerland,Europe,8636896,752248045730,87097.04,2020,na
CHL,Chile,America,19116209,252940023046,13231.7,2020,0.9998818266
CHN,China,Asia,1402112000,14722730697890,10500.4,2020,0.998461706
CIV,Ivory Coast,Africa,26378275,61348579465,2325.72,2020,na
CMR,Cameroon,Africa,26545864,39802147568,1499.37,2020,na
COD,Congo-Kinshasa,Africa,89561404,49868970641,556.81,2020,na
COG,Congo-Brazzaville,Africa,5518092,10884686143,1972.55,2020,na
COL,Colombia,America,50882884,271346896626,5332.77,2020,0.9999570438
COM,Comoros,Africa,869595,1219690025,1402.6,2020,na
CPV,Cape Verde,Africa,555988,1703698677,3064.27,2020,na
CRI,Costa Rica,America,5094114,61520669890,12076.81,2020,na
CUB,Cuba,America,11333484,103131000000,9099.67,2019,na
CYP,Cyprus,Asia,1207361,23804340377,19716.01,2020,na
CZE,Czechia,Europe,10698896,245349489988,22932.22,2020,na
DEU,Germany,Europe,83240525,3846413928654,46208.43,2020,0.987439179
DJI,Djibouti,Africa,988002,3384404260,3425.5,2020,na
DMA,Dominica,America,71991,469870370,6526.79,2020,na
DNK,Denmark,Europe,5831404,356084867686,61063.32,2020,na
DOM,Dominican Republic,America,10847904,78844702329,7268.2,2020,na
DZA,Algeria,Africa,43851043,145163902228,3310.39,2020,na
ECU,Ecuador,America,17643060,98808010000,5600.39,2020,na
EGY,Egypt,Africa,102334403,363069245165,3547.87,2020,0.9097432414
ERI,Eritrea,Africa,3213969,2065001626,642.51,2011,na
ESP,Spain,Europe,47351567,1281484640044,27063.19,2020,0.9880909825
EST,Estonia,Europe,1331057,30650285472,23027.03,2020,na
ETH,Ethiopia,Africa,114963583,107645054312,936.34,2020,na
FIN,Finland,Europe,5530719,269751312854,48773.28,2020,0.9530787556
FJI,Fiji,Oceania,896444,4376014756,4881.53,2020,na
FLK,Falkland Islands,America,,,,,na
FRA,France,Europe,67391582,2630317731455,39030.36,2020,0.9866833462
FRO,Faeroe Islands,Europe,48677,3126293220,64225.26,2019,na
FSM,Micronesia,Oceania,113811,408060600,3585.42,2019,na
GAB,Gabon,Africa,2225728,15593181271,7005.88,2020,na
GBR,United Kingdom,Europe,67215293,2707743777174,40284.64,2020,0.9725245185
GEO,Georgia,Asia,3714000,15891688903,4278.86,2020,na
GGY,Guernsey,Europe,,,,,na
